molecule,#stars,#amine,#amidine,#acid,#amide,#rotor,#rtvFG,CNS,mol_MW,dipole,SASA,FOSA,FISA,PISA,WPSA,volume,donorHB,accptHB,dip^2/V,ACxDN^.5/SA,glob,QPpolrz,QPlogPC16,QPlogPoct,QPlogPw,QPlogPo/w,QPlogS,CIQPlogS,QPlogHERG,QPPCaco,QPlogBB,QPPMDCK,QPlogKp,IP(eV),EA(eV),#metab,QPlogKhsa,HumanOralAbsorption,PercentHumanOralAbsorption,SAfluorine,SAamideO,PSA,#NandO,RuleOfFive,#ringatoms,#in34,#in56,#noncon,#nonHatm,RuleOfThree,Jm
CHEMBL2029729,1,0,0,0,1,5,0,-1,425.570,8.447,829.939,623.318,95.947,110.675,0.000,1470.034,1.000,7.200,0.0485430,0.0086753,0.7533618,50.523,13.878,22.223,12.748,4.304,-6.855,-4.895,-4.676,711.767,-0.865,612.833,-2.418,8.168,-0.009,4,0.617,1,100.000,0.000,29.359,79.363,6,0,19,0,19,9,31,1,0.000
CHEMBL2029733,0,0,0,0,1,9,0,-2,469.623,8.145,845.221,628.014,135.884,81.324,0.000,1556.747,2.000,8.900,0.0426107,0.0148914,0.7685520,51.145,14.873,24.859,14.613,3.707,-6.046,-5.079,-4.290,336.859,-1.513,238.775,-2.873,8.180,0.024,5,0.329,3,93.887,0.000,22.596,100.006,7,0,19,0,19,9,34,1,0.001
CHEMBL2029734,0,0,0,0,1,6,0,-1,467.607,10.172,825.636,649.589,82.131,93.916,0.000,1519.589,0.250,8.450,0.0680918,0.0051173,0.7742132,51.704,13.802,22.488,12.413,4.162,-5.914,-4.975,-4.259,969.406,-0.712,849.090,-2.126,8.210,0.039,4,0.368,3,100.000,0.000,28.963,87.489,7,0,23,4,19,12,34,1,0.004
CHEMBL2029735,0,0,0,0,1,8,0,-2,487.613,9.375,857.244,598.283,124.573,89.546,44.841,1572.530,2.000,8.900,0.0558958,0.0146825,0.7628866,52.497,14.752,25.702,15.422,4.060,-6.359,-5.436,-4.421,374.954,-1.236,548.996,-2.732,8.255,0.085,5,0.408,1,96.785,44.841,30.226,96.617,7,0,19,0,19,9,35,1,0.000
CHEMBL2029736,0,0,0,0,1,8,0,-2,469.623,10.685,836.343,630.247,118.729,87.368,0.000,1551.180,2.000,8.900,0.0736029,0.0150494,0.7748576,51.622,14.696,25.441,15.105,3.803,-5.892,-5.079,-4.217,447.191,-1.237,357.957,-2.632,8.337,0.168,5,0.362,3,96.655,0.000,27.576,96.186,7,0,19,0,19,9,34,1,0.001
CHEMBL2029737,0,0,0,0,1,7,0,-2,455.596,11.664,807.413,592.761,127.766,86.886,0.000,1490.830,2.000,8.900,0.0912512,0.0155887,0.7816663,49.844,14.158,25.152,15.547,3.371,-5.456,-4.801,-4.105,346.572,-1.252,289.198,-2.896,8.381,0.218,5,0.253,3,92.138,0.000,30.716,97.845,7,0,19,0,19,9,33,0,0.002
CHEMBL2029738,0,0,0,0,1,8,0,-2,455.596,7.620,834.725,612.989,128.319,93.417,0.000,1513.936,2.000,8.900,0.0383581,0.0150786,0.7638827,50.189,14.545,24.442,14.947,3.503,-5.981,-4.801,-4.424,386.948,-1.385,285.453,-2.787,8.220,0.049,5,0.255,3,93.767,0.000,24.046,100.195,7,0,19,0,19,9,33,1,0.001
CHEMBL2029739,1,0,0,0,1,7,0,-2,450.580,8.185,841.017,577.894,162.930,100.193,0.000,1525.279,1.000,8.700,0.0439189,0.0103446,0.7619497,51.350,14.730,23.572,13.071,3.532,-7.623,-5.789,-4.487,217.811,-1.729,126.115,-3.497,8.100,-0.043,5,0.364,1,89.474,0.000,14.165,104.617,7,0,19,0,19,9,33,1,0.000
CHEMBL2029899,0,0,0,0,1,6,1,-1,441.569,7.281,686.356,537.054,77.979,71.324,0.000,1349.789,1.000,8.900,0.0392759,0.0129670,0.8605827,44.693,11.979,21.240,13.012,2.960,-3.713,-4.526,-2.754,1179.363,-0.500,936.521,-2.129,8.091,-0.085,4,-0.043,3,100.000,0.000,23.214,85.375,7,0,19,0,19,9,32,0,0.635
CHEMBL2030451,0,0,0,0,1,5,0,-2,485.532,12.240,819.523,295.276,142.097,334.705,47.445,1450.155,2.000,10.200,0.1033120,0.0176017,0.7560433,51.867,15.497,27.355,18.258,2.933,-6.115,-5.508,-5.701,312.059,-1.279,375.152,-2.479,8.687,0.884,2,-0.041,3,88.763,47.033,19.366,116.886,9,0,24,0,24,4,34,1,0.001
CHEMBL2030450,0,0,0,0,0,4,0,-2,367.379,7.473,625.091,301.977,191.242,131.455,0.416,1086.020,1.000,12.200,0.0514186,0.0195172,0.8174237,35.996,10.782,20.606,16.018,-0.163,-2.575,-2.585,-5.113,152.178,-1.585,64.991,-4.197,9.187,1.054,2,-1.001,3,65.049,0.000,0.000,138.247,10,0,17,0,17,4,25,0,0.062
CHEMBL2030449,0,0,0,0,0,5,0,-2,426.505,7.832,695.384,373.691,173.750,146.432,1.511,1243.936,1.000,12.700,0.0493172,0.0182633,0.8044006,41.816,12.296,22.786,16.442,0.711,-3.362,-3.584,-5.395,222.963,-1.524,99.574,-3.726,8.788,0.936,2,-0.773,3,73.135,0.000,0.000,119.562,9,0,18,0,18,4,28,0,0.035
CHEMBL2030448,0,0,0,0,0,3,0,-1,398.479,4.612,638.121,313.997,99.684,224.440,0.000,1177.811,1.000,8.200,0.0180604,0.0128502,0.8452376,41.199,11.678,19.672,12.339,2.829,-4.411,-5.021,-5.107,1123.552,-0.548,561.093,-2.278,8.217,0.654,2,0.089,3,100.000,0.000,0.000,81.080,7,0,23,0,23,6,28,0,0.082
CHEMBL2030446,0,0,0,0,0,3,0,-1,386.468,5.680,659.544,326.448,102.520,230.165,0.411,1182.316,1.000,8.200,0.0272891,0.0124328,0.8198672,41.434,11.776,19.810,12.449,2.828,-4.819,-4.791,-5.544,1056.103,-0.633,527.506,-2.310,8.244,0.732,2,0.084,3,100.000,0.000,0.000,83.225,7,0,21,0,21,4,27,0,0.032
